section,dimension_1,dimension_2,n,eligible_n,metric_1,metric_2,metric_3,metric_4,metric_5,notes
channel,google,organic,90277,83747,0.19865524995292266,0.005134512281036932,0.0009686847599164927,0.005845511482254697,,feature24_eligible=89512;d30_eligible=59875; future30_eligible=59875
channel,(direct),(none),61338,56884,0.19808275457302163,0.004517966387736446,0.00125826507450903,0.005107075890654298,,feature24_eligible=60852; d30_eligible=40532;future30_eligible=40532
channel,<Other>,<Other>,46433,43072,0.19688583550492106,0.004852340267459138,0.0011391375101708705,0.005370219690805533,,feature24_eligible=46062;d30_eligible=30725; future30_eligible=30725
channel,<Other>,referral,23895,22211,0.19690311780707262,0.0055828193237584985,0.0013895907023749369,0.0055583628094997475,,feature24_eligible=23701; d30_eligible=15832; future30_eligible=15832
channel,google,cpc,14103,13057,0.19527760051052967,0.004212299915754001,0.0006380942252472616,0.006168244177390194,,feature24_eligible=13963; d30_eligible=9403; future30_eligible=9403
channel,<Other>,organic,8483,7838,0.19615701992219733,0.004975759122225057,0.0012630819198845183,0.006856730422230242,,feature24_eligible=8424; d30_eligible=5542; future30_eligible=5542
